title,price,img-src,link_produkt-href,chipset,ram,dlugosc,taktowanie,part_number
Asus ROG Astral GeForce RTX 5080 OC 16GB GDDR7,"7 358,99 zł",https://images.morele.net/i256/14485389_0_i256.jpg,https://www.morele.net/karta-graficzna-asus-rog-astral-geforce-rtx-5080-oc-16gb-gddr7-rog-astral-rtx5080-o16g-gaming-14485389/,GeForce RTX 5080,358 mm,358 mm,Brak danych,ROG-ASTRAL-RTX5080-O16G-GAMING
MSI GeForce RTX 5080 Suprim Liquid SOC 16GB GDDR7 DLSS4,"7 255,89 zł",https://images.morele.net/i256/14458120_5_i256.jpg,https://www.morele.net/karta-graficzna-msi-geforce-rtx-5080-suprim-liquid-soc-16gb-gddr7-dlss4-14458120/,GeForce RTX 5080,280 mm,280 mm,2760 MHz,
Gigabyte AORUS GeForce RTX 5080 Xtreme Waterforce 16GB GDDR7,7 499 zł,https://images.morele.net/i256/14485747_7_i256.jpg,https://www.morele.net/karta-graficzna-gigabyte-aorus-geforce-rtx-5080-xtreme-waterforce-16gb-gddr7-gv-n5080aorusx-w-16gd-14485747/,GeForce RTX 5080,220 mm,220 mm,2805 MHz,GV-N5080AORUSX W-16GD
Gigabyte AORUS GeForce RTX 5080 Master 16GB GDDR7,6 799 zł,https://images.morele.net/i256/14485972_9_i256.jpg,https://www.morele.net/karta-graficzna-gigabyte-aorus-geforce-rtx-5080-master-16gb-gddr7-gv-n5080aorus-m-16gd-14485972/,GeForce RTX 5080,360 mm,360 mm,2805 MHz,GV-N5080AORUS M-16GD
Gigabyte AORUS GeForce RTX 5070 Ti Master 16GB GDDR7,"6 184,99 zł",https://images.morele.net/i256/14485973_9_i256.jpg,https://www.morele.net/karta-graficzna-gigabyte-aorus-geforce-rtx-5070-ti-master-16gb-gddr7-gv-n507taorus-m-16gd-14485973/,GeForce RTX 5070 Ti,360 mm,360 mm,2670 MHz,GV-N507TAORUS M-16GD
Palit GeForce RTX 4080 GamingPro	16GB GDDR6X,,https://images.morele.net/i256/12535641_0_i256.jpg,https://www.morele.net/karta-graficzna-palit-geforce-rtx-4080-gamingpro-16gb-gddr6x-ned4080019t2-1032a-12535641/,GeForce RTX 4080,329 mm,329 mm,2505 MHz,NED4080019T2-1032A
PNY RTX 4000 Ada Generation 20GB GDDR6,"6 139,40 zł",https://images.morele.net/i256/13119830_0_i256.jpg,https://www.morele.net/karta-graficzna-pny-rtx-4000-ada-generation-20gb-gddr6-vcnrtx4000ada-sb-13119830/,,,,,VCNRTX4000ADA-SB
MSI GeForce RTX 5080 Gaming Trio OC 16GB GDDR7 DLSS4,"6 043,90 zł",https://images.morele.net/i256/14458150_6_i256.jpg,https://www.morele.net/karta-graficzna-msi-geforce-rtx-5080-gaming-trio-oc-16gb-gddr7-dlss4-14458150/,GeForce RTX 5080,338 mm,338 mm,2715 MHz,
Palit GeForce RTX 5080 GameRock OC 16GB GDDR7,"5 877,99 zł",https://images.morele.net/i256/14485260_0_i256.jpg,https://www.morele.net/karta-graficzna-palit-geforce-rtx-5080-gamerock-oc-16gb-gddr7-ne75080t19t2-gb2030g-14485260/,GeForce RTX 5080,332 mm,332 mm,2730 MHz,NE75080T19T2-GB2030G
ASRock Radeon RX 9070 XT Taichi OC 16GB GDDR6,"4 253,97 zł",https://images.morele.net/i256/14732564_7_i256.jpg,https://www.morele.net/karta-graficzna-asrock-radeon-rx-9070-xt-taichi-oc-16gb-gddr6-rx9070xt-tc-16go-14732564/,Radeon RX 9070 XT,330 mm,330 mm,3100 MHz,RX9070XT TC 16GO
Gigabyte GeForce RTX 5070 Ti Eagle OC ICE SFF 16GB GDDR7,4 499 zł,https://images.morele.net/i256/14485562_9_i256.jpg,https://www.morele.net/karta-graficzna-gigabyte-geforce-rtx-5070-ti-eagle-oc-ice-sff-16gb-gddr7-gv-n507teagleoc-ice-16gd-14485562/,GeForce RTX 5070 Ti,304 mm,304 mm,2542 MHz,GV-N507TEAGLEOC ICE-16GD
MSI GeForce RTX 5070 Ti Inspire 3X OC Plus 16GB GDDR7,4 349 zł,https://images.morele.net/i256/14481984_7_i256.jpg,https://www.morele.net/karta-graficzna-msi-geforce-rtx-5070-ti-inspire-3x-oc-plus-16gb-gddr7-14481984/,GeForce RTX 5070 Ti,288 mm,288 mm,2497 MHz,
Inno3D GeForce RTX 5070 Ti X3 OC 16GB GDDR7 DLSS4,"4 308,94 zł",https://images.morele.net/i256/14702205_2_i256.jpg,https://www.morele.net/karta-graficzna-inno3d-geforce-rtx-5070-ti-x3-oc-16gb-gddr7-dlss4-n507t3-16d7x-176068n-14702205/,,,,,N507T3-16D7X-176068N
Gigabyte GeForce RTX 5070 Ti Eagle OC SFF 16GB GDDR7,4 299 zł,https://images.morele.net/i256/14485561_9_i256.jpg,https://www.morele.net/karta-graficzna-gigabyte-geforce-rtx-5070-ti-eagle-oc-sff-16gb-gddr7-gv-n507teagle-oc-16gd-14485561/,GeForce RTX 5070 Ti,304 mm,304 mm,2542 MHz,GV-N507TEAGLE OC-16GD
XFX Mercury Radeon RX 9070 XT OC White Magnetic Air RGB 16GB GDDR6,"3 889,99 zł",https://images.morele.net/i256/14739189_0_i256.jpg,https://www.morele.net/karta-graficzna-xfx-mercury-radeon-rx-9070-xt-oc-white-magnetic-air-rgb-16gb-gddr6-rx-97tmargw9-14739189/,Radeon RX 9070 XT,360 mm,360 mm,3100 MHz,RX-97TMARGW9
Asus Prime Radeon RX 9070 XT OC 16GB GDDR6,"3 454,33 zł",https://images.morele.net/i256/14731754_0_i256.jpg,https://www.morele.net/karta-graficzna-asus-prime-radeon-rx-9070-xt-oc-16gb-gddr6-prime-rx9070xt-o16g-14731754/,Radeon RX 9070 XT,312 mm,312 mm,Brak danych,PRIME-RX9070XT-O16G
XFX Quicksilver Radeon RX 9070 XT White Magnetic Air 16GB GDDR6,3 399 zł,https://images.morele.net/i256/14739282_0_i256.jpg,https://www.morele.net/karta-graficzna-xfx-quicksilver-radeon-rx-9070-xt-white-magnetic-air-16gb-gddr6-rx-97tmaqkw9-14739282/,,,,,RX-97TMAQKW9
PNY GeForce RTX 5070 Overclocked,"3 206,99 zł",https://images.morele.net/i256/14481850_0_i256.jpg,https://www.morele.net/karta-graficzna-pny-geforce-rtx-5070-overclocked-vcg507012tfxpb1-o-14481850/,GeForce RTX 5070,300 mm,300 mm,2510 MHz,VCG507012TFXPB1-O
Gigabyte GeForce RTX 5070 Aero OC 12GB GDDR7,3 199 zł,https://images.morele.net/i256/14485484_9_i256.jpg,https://www.morele.net/karta-graficzna-gigabyte-geforce-rtx-5070-aero-oc-12gb-gddr7-gv-n5070aero-oc-12gd-14485484/,GeForce RTX 5070,324 mm,324 mm,Brak danych,GV-N5070AERO OC-12GD
